"Type","ChemID","Chemical","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","3731","Abacavir sulphate","Hawke's Bay",2020,"7","<6",100
"Initial dispensings","3731","Abacavir sulphate","Counties Manukau",2020,"22","6",100
"Initial dispensings","3731","Abacavir sulphate","Canterbury",2020,"25","8",100
"Initial dispensings","3731","Abacavir sulphate","Auckland",2020,"37","9",100
"Initial dispensings","3731","Abacavir sulphate","Lakes",2020,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Waitemata",2020,"11","<6",100
"Initial dispensings","3731","Abacavir sulphate","Waikato",2020,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Northland",2020,"6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Wairarapa",2020,"6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Southern",2020,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","West Coast",2020,"7","<6",100
"Initial dispensings","3731","Abacavir sulphate","MidCentral",2020,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","New Zealand",2020,"136","37",100
"Initial dispensings","3731","Abacavir sulphate","Counties Manukau",2021,"25","7",100
"Initial dispensings","3731","Abacavir sulphate","Canterbury",2021,"22","7",100
"Initial dispensings","3731","Abacavir sulphate","Auckland",2021,"39","11",100
"Initial dispensings","3731","Abacavir sulphate","Hawke's Bay",2021,"8","<6",100
"Initial dispensings","3731","Abacavir sulphate","Waikato",2021,"7","<6",100
"Initial dispensings","3731","Abacavir sulphate","West Coast",2021,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Southern",2021,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Waitemata",2021,"8","<6",100
"Initial dispensings","3731","Abacavir sulphate","Lakes",2021,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Northland",2021,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","MidCentral",2021,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Wairarapa",2021,"8","<6",100
"Initial dispensings","3731","Abacavir sulphate","New Zealand",2021,"136","40",100
"Initial dispensings","3731","Abacavir sulphate","Auckland",2022,"47","12",100
"Initial dispensings","3731","Abacavir sulphate","West Coast",2022,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Hawke's Bay",2022,"8","<6",100
"Initial dispensings","3731","Abacavir sulphate","Canterbury",2022,"28","8",100
"Initial dispensings","3731","Abacavir sulphate","Waitemata",2022,"10","<6",100
"Initial dispensings","3731","Abacavir sulphate","MidCentral",2022,"<6","<6",100
"Initial dispensings","3731","Abacavir sulphate","Counties Manukau",2022,"19","<6",100
"Initial dispensings","3731","Abacavir sulphate","Waikato",2022,"8","<6",100
