"Type","TG3ID","TherapeuticGrp3","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2020,"3550","989",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2020,"9148","2583",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2020,"8026","2253",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2020,"1803","511",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2020,"5542","1529",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2020,"1405","401",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2020,"929","247",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2020,"2817","815",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2020,"6180","1659",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2020,"5207","1443",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2020,"1801","495",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2020,"3164","895",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2020,"2181","594",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2020,"819","225",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2020,"928","261",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2020,"5575","1558",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2020,"783","239",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2020,"396","122",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2020,"970","266",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2020,"2826","790",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2020,"64050","17875",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2021,"1025","285",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2021,"3362","956",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2021,"3829","1034",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2021,"3412","970",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2021,"1885","530",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2021,"6106","1621",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2021,"1608","450",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2021,"10915","3067",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2021,"6628","1765",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2021,"5646","1580",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2021,"8766","2437",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2021,"959","258",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2021,"2141","578",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2021,"3088","898",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2021,"1024","285",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2021,"6059","1646",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2021,"2030","567",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2021,"501","145",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2021,"933","263",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2021,"909","266",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2021,"70826","19601",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2022,"5833","1642",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2022,"9882","2775",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2022,"6484","1775",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2022,"2234","583",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2022,"3912","1130",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2022,"4198","1147",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2022,"1941","544",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2022,"3592","993",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2022,"12490","3475",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2022,"1725","481",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2022,"957","283",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2022,"6996","1845",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2022,"1028","285",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2022,"1211","347",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2022,"3938","1143",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2022,"6637","1773",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2022,"1027","284",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2022,"1037","290",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2022,"594","169",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2022,"2115","593",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2022,"77831","21557",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2023,"2237","606",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2023,"14059","3930",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2023,"6281","1732",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2023,"7100","1919",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2023,"1884","527",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2023,"10824","3012",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2023,"1432","413",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2023,"7469","1955",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2023,"2340","607",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2023,"4408","1275",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2023,"3953","1061",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2023,"6945","1895",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Lakes",2023,"1001","305",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2023,"4370","1246",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2023,"1122","325",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2023,"4730","1243",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2023,"1094","300",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2023,"1248","383",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2023,"2225","581",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Tairawhiti",2023,"659","187",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","New Zealand",2023,"85381","23502",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Canterbury",2024,"16020","4304",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Southern",2024,"6904","1888",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Auckland",2024,"8145","2131",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waitemata",2024,"11898","3223",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hutt Valley",2024,"2415","632",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Northland",2024,"4810","1338",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Waikato",2024,"7544","2011",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Counties Manukau",2024,"7815","2080",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","MidCentral",2024,"2521","619",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","South Canterbury",2024,"2089","560",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Bay of Plenty",2024,"5020","1428",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Taranaki",2024,"2301","590",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Capital & Coast",2024,"5043","1281",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Wairarapa",2024,"1603","437",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Nelson Marlborough",2024,"4343","1102",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Whanganui",2024,"1199","321",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","Hawke's Bay",2024,"1806","519",100
"Initial dispensings","131901","5-Alpha Reductase Inhibitors","West Coast",2024,"1176","317",100
