STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_008,Area,CEN23_DEP_001,New Zealand index of socioeconomic deprivation,CEN23_ETH_006,Ethnicity,CEN23_AGE_003,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,301,Whanganui,07,7,9999,Total - ethnicity,99,Total - age,99,Total - gender,8442,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,201,Lakes,777,Total stated - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,114039,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,302,MidCentral,10,10 - Most deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,16167,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,30,Central Region,09,9,9999,Total - ethnicity,99,Total - age,99,Total - gender,89181,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,302,MidCentral,08,8,9999,Total - ethnicity,99,Total - age,99,Total - gender,22401,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,404,Southern,07,7,9999,Total - ethnicity,99,Total - age,99,Total - gender,33540,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,99999,Total - New Zealand by health region/health district,07,7,9999,Total - ethnicity,99,Total - age,99,Total - gender,503148,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,40,Te Waipounamu,01,1 - Least deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,161553,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,402,Canterbury,99,Not elsewhere included,9999,Total - ethnicity,99,Total - age,99,Total - gender,75,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,300,Hawke's Bay,10,10 - Most deprived,9999,Total - ethnicity,99,Total - age,99,Total - gender,27774,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,202,Bay of Plenty,99,Not elsewhere included,9999,Total - ethnicity,99,Total - age,99,Total - gender,87,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,101,Waitematā,05,5,9999,Total - ethnicity,99,Total - age,99,Total - gender,67842,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,101,Waitematā,08,8,9999,Total - ethnicity,99,Total - age,99,Total - gender,52815,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,103,Counties Manukau,999,Total - New Zealand index of socioeconomic deprivation,9999,Total - ethnicity,99,Total - age,99,Total - gender,585189,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,304,Wairarapa,08,8,9999,Total - ethnicity,99,Total - age,99,Total - gender,5364,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,40,Te Waipounamu,07,7,9999,Total - ethnicity,99,Total - age,99,Total - gender,131373,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,400,Nelson Marlborough,06,6,9999,Total - ethnicity,99,Total - age,99,Total - gender,16299,,,
DATAFLOW,STATSNZ:CEN23_DEP_019(1.0),"New Zealand index of socioeconomic deprivation, ethnicity (detailed single / combination), age, and gender for the census usually resident population count, (RC, TALB, Health), 2023 Census",I,2023,2023,20,Te Manawa Taki,03,3,9999,Total - ethnicity,99,Total - age,99,Total - gender,81759,,,
